concreteness,concept,n_etyma,n_neighbours
1.19,PERHAPS,18.0,15.0
1.22,BECAUSE,44.0,167.0
1.25,HOPE,32.0,60.0
1.33,ENOUGH,35.0,113.0
1.33,UNTIL,29.0,85.0
1.33,GOOD LUCK,10.0,11.0
1.35,HOW,79.0,328.0
1.39,YET,25.0,98.0
1.41,CONCEPT,6.0,13.0
1.43,VERY,107.0,608.0
1.44,THEN,47.0,152.0
1.47,THEORY,6.0,20.0
1.48,NOW,74.0,236.0
1.48,INSTEAD,10.0,33.0
1.48,PASSIONATE,13.0,17.0
1.5,EXPERIENCED,15.0,28.0
1.52,COURAGE,42.0,101.0
1.52,JUST,53.0,223.0
1.53,FATE,33.0,95.0
1.53,IMAGINE,21.0,75.0
1.54,BECOME,85.0,371.0
1.54,SYMPATHIZE,7.0,31.0
1.54,REVENGE,8.0,23.0
1.54,WHICH,56.0,96.0
1.54,THAT,113.0,178.0
1.54,INNOCENT,14.0,36.0
1.55,AMAZING,8.0,16.0
1.55,BELIEVE,46.0,115.0
1.55,WHILE,44.0,131.0
1.59,NEVER,13.0,13.0
1.59,SPLENDOR,20.0,55.0
1.6,WHEN,53.0,153.0
1.61,IDEA,38.0,155.0
1.61,KEEN,23.0,86.0
1.62,PEACE,29.0,94.0
1.62,HARDLY,7.0,8.0
1.62,SUSPICION,16.0,37.0
1.62,MANNER,63.0,293.0
1.64,GOOD,136.0,440.0
1.64,DELIGHT,27.0,35.0
1.64,ALREADY,22.0,50.0
1.66,HONEST,33.0,155.0
1.66,WHERE,40.0,86.0
1.66,PRIDE,18.0,32.0
1.67,HOLY,38.0,91.0
1.68,JUDGMENT,23.0,77.0
1.68,BAD,110.0,340.0
1.68,DECEIVE,53.0,128.0
1.68,ANXIOUS,19.0,26.0
1.68,CERTAIN,36.0,94.0
1.68,OFFEND,17.0,42.0
1.69,IN VAIN,7.0,25.0
1.69,DILIGENT,8.0,8.0
1.69,ENVY,21.0,27.0
1.7,TRUE,68.0,263.0
1.71,ALWAYS,21.0,72.0
1.71,RELIGION,16.0,56.0
1.72,LOGIC,3.0,1.0
1.72,SUFFICE,29.0,161.0
1.73,KNOWLEDGE,40.0,163.0
1.73,INSOLENT,8.0,12.0
1.74,WHO,58.0,171.0
1.74,SORROWFUL,16.0,66.0
1.74,RECOMMEND,8.0,13.0
1.74,KINDNESS,18.0,67.0
1.75,STUPID,85.0,263.0
1.75,SEEM,29.0,107.0
1.75,CURIOUS,7.0,17.0
1.77,SOMETIMES,8.0,19.0
1.78,ATTENTIVE,5.0,3.0
1.78,HAPPEN,86.0,422.0
1.79,CLEVER,45.0,145.0
1.79,OBSTINATE,21.0,37.0
1.79,SOON,31.0,43.0
1.79,OPPOSITE,27.0,73.0
1.8,NECESSARY,14.0,62.0
1.8,JEALOUSY,18.0,22.0
1.8,AGAINST,44.0,147.0
1.8,EFFECT,29.0,167.0
1.81,ABILITY,24.0,66.0
1.81,CAREFUL,18.0,45.0
1.82,CONTEMPT,12.0,22.0
1.82,SADNESS,10.0,49.0
1.83,WRONG,42.0,150.0
1.83,AFFORD,5.0,17.0
1.84,SUDDENLY,15.0,21.0
1.84,FROM,62.0,196.0
1.85,MEANING,28.0,192.0
1.85,NERVOUS,11.0,14.0
1.86,WHY,18.0,31.0
1.86,FUTURE,17.0,34.0
1.86,STRANGE,37.0,110.0
1.86,SOUL,72.0,218.0
1.87,PITY,25.0,63.0
1.87,PURE,71.0,217.0
1.89,LIKE,122.0,523.0
1.89,NOBLE,53.0,254.0
1.89,DEPEND,18.0,35.0
1.9,REGRET,25.0,63.0
1.91,UNPLEASANT,25.0,58.0
1.92,FORGIVE,20.0,41.0
1.92,DECIDE,29.0,110.0
1.93,WANT,73.0,209.0
1.93,REASON,64.0,384.0
1.93,DISAPPOINTMENT,3.0,
1.93,DEPRESSED,10.0,46.0
1.93,EVIL,79.0,237.0
1.93,INFRINGE,5.0,5.0
1.96,TRUTH,26.0,107.0
1.96,BEFORE,69.0,208.0
1.96,RARE,20.0,39.0
1.96,MIRACLE,15.0,50.0
1.96,COWARDLY,16.0,23.0
1.96,CONDEMN,12.0,10.0
1.96,SKILLED,18.0,30.0
1.96,FORBID,18.0,28.0
1.96,FAME,39.0,147.0
1.96,REMAIN,52.0,151.0
1.97,VULGAR,14.0,25.0
1.97,MISTAKE,26.0,50.0
1.97,HATE,33.0,45.0
1.97,EXPLAIN,34.0,118.0
1.97,FRESH,66.0,200.0
1.97,THOUGHT,60.0,245.0
1.97,WISE,39.0,175.0
2.0,WHAT,67.0,109.0
2.0,WITH,83.0,247.0
2.0,OBSCURE,27.0,63.0
2.0,STINGY,23.0,32.0
2.0,AGAIN,51.0,162.0
2.0,EVERYWHERE,6.0,2.0
2.0,PRECIOUS,13.0,19.0
2.0,MANAGE,36.0,178.0
2.0,EMOTIONAL,3.0,
2.0,IDENTITY,4.0,3.0
2.0,ENDURE,63.0,247.0
2.03,FAMILIAR,27.0,107.0
2.04,CONCEIVE,15.0,31.0
2.04,TOMORROW,40.0,41.0
2.04,FORGET,28.0,48.0
2.04,OTHER,82.0,91.0
2.04,FREE,52.0,180.0
2.04,POWER,102.0,348.0
2.04,MISERY,18.0,43.0
2.04,TAME,30.0,50.0
2.04,INHERIT,15.0,22.0
2.04,BUT,57.0,161.0
2.04,UNHAPPY,10.0,13.0
2.07,PROUD,29.0,75.0
2.07,TRAGEDY,2.0,
2.07,DEITY,26.0,45.0
2.07,PERSUADE,10.0,12.0
2.07,OWE,102.0,348.0
2.07,BRILLIANT,19.0,41.0
2.07,BAD LUCK,12.0,12.0
2.07,EASY,40.0,116.0
2.07,READY,37.0,184.0
2.07,FATHOM,18.0,32.0
2.07,BORING,8.0,8.0
2.07,LOVE,100.0,367.0
2.08,NOT,67.0,105.0
2.08,CONDUCT,41.0,225.0
2.09,PROMISE,37.0,96.0
2.11,BEWITCH,18.0,21.0
2.11,CHEAP,13.0,9.0
2.11,PRETEND,14.0,51.0
2.11,CRUEL,39.0,157.0
2.11,DISGRACE,14.0,21.0
2.12,AFTER,47.0,153.0
2.12,CUNNING,33.0,97.0
2.12,DESPISE,13.0,16.0
2.13,DANGEROUS,29.0,77.0
2.13,MUST,26.0,92.0
2.13,ACQUIT,1.0,
2.14,THIS,73.0,78.0
2.14,YES,37.0,38.0
2.14,IMPORTANT,44.0,177.0
2.14,AFTERWARDS,22.0,56.0
2.14,FLATTER,21.0,21.0
2.14,GROW UP,17.0,44.0
2.15,WITHOUT,38.0,123.0
2.16,BEAUTIFUL,58.0,146.0
2.17,BETRAY,20.0,52.0
2.17,REJOICE,20.0,17.0
2.17,JEALOUS,30.0,86.0
2.17,POWERFUL,55.0,296.0
2.17,MOURNING,11.0,11.0
2.17,TRIUMPH,12.0,23.0
2.18,FORMER,33.0,65.0
2.18,STUBBORN,32.0,76.0
2.18,HAVE,93.0,417.0
2.19,SECRET,43.0,92.0
2.19,THOU,60.0,245.0
2.19,RESEMBLE,21.0,78.0
2.19,DISGUST,14.0,7.0
2.19,RUMINATE,4.0,1.0
2.19,DISOBEDIENT,5.0,2.0
2.19,DETECT,6.0,19.0
2.2,FAITHFUL,14.0,66.0
2.2,THERE,64.0,90.0
2.2,LEARN,54.0,184.0
2.2,DENY,23.0,41.0
2.21,ANXIETY,21.0,35.0
2.21,DISGUSTING,10.0,10.0
2.21,GOODBYE,7.0,11.0
2.21,GOVERN,30.0,103.0
2.21,DIFFICULT,84.0,263.0
2.21,NOTHING,22.0,42.0
2.22,PERJURY,1.0,
2.22,TRY,89.0,277.0
2.22,AGREEMENT,21.0,43.0
2.22,IGNORE,21.0,43.0
2.23,DREADFUL,10.0,20.0
2.24,SHAME,36.0,27.0
2.24,HOSTILITY,11.0,12.0
2.24,DISCIPLINE,12.0,25.0
2.25,BEGET,22.0,53.0
2.25,LOSE,138.0,328.0
2.25,MONDAY,3.0,2.0
2.25,ACCUSE,37.0,119.0
2.25,DEAR,32.0,91.0
2.25,BENEFIT,27.0,125.0
2.25,GENEROUS,19.0,34.0
2.25,EARLY,32.0,65.0
2.26,BRAVE,54.0,202.0
2.26,ALLOW,69.0,46.0
2.26,PROVERB,10.0,17.0
2.26,PLAIN,63.0,169.0
2.27,INVESTIGATE,26.0,70.0
2.28,SUFFER,63.0,219.0
2.28,UNDERSTAND,81.0,327.0
2.28,DARE,22.0,41.0
2.28,GUESS,24.0,66.0
2.28,OVERCOME,47.0,143.0
2.28,WANDER,32.0,97.0
2.29,LOVELY,16.0,39.0
2.3,IMMEDIATELY,24.0,55.0
2.3,CONJURE,4.0,5.0
2.31,DEFEND,25.0,51.0
2.31,SPARSE,13.0,31.0
2.31,LAVISH,5.0,4.0
2.31,AGREE,49.0,163.0
2.32,BOAST,25.0,46.0
2.32,ADMIT,13.0,22.0
2.32,NOBODY,9.0,18.0
2.32,EXCITED,14.0,34.0
2.33,SUCCEED,35.0,163.0
2.33,GRIEVE,25.0,49.0
2.33,CONFUSED,30.0,42.0
2.34,PREVENT,29.0,69.0
2.34,AUTHORITY,32.0,131.0
2.34,ROAD,61.0,135.0
2.35,LANGUAGE,73.0,141.0
2.36,GUILTY,9.0,23.0
2.36,PREPARE,49.0,163.0
2.36,FALSE,19.0,34.0
2.37,DECEIT,21.0,24.0
2.37,KEEP,78.0,306.0
2.37,MORE,52.0,138.0
2.37,JOY,45.0,128.0
2.38,MEMORY,28.0,73.0
2.38,GIVE,120.0,401.0
2.38,IMPATIENT,3.0,
2.39,CEASE,46.0,150.0
2.39,DEPRESSION,10.0,7.0
2.39,FRIENDSHIP,13.0,44.0
2.39,EARN,54.0,184.0
2.39,CURSE,41.0,48.0
2.4,GOOD-LOOKING,9.0,36.0
2.41,MAIN,52.0,151.0
2.41,FAULT,38.0,72.0
2.41,ONLY,59.0,142.0
2.41,BUSY,17.0,37.0
2.41,AVOID,35.0,120.0
2.41,METHOD,34.0,137.0
2.41,CURE,29.0,60.0
2.41,REMEMBER,49.0,192.0
2.41,ANGER,82.0,183.0
2.41,HELL,70.0,113.0
2.42,MY,40.0,123.0
2.43,SEVERE,42.0,199.0
2.43,CAUSE,92.0,553.0
2.45,WIDE,77.0,139.0
2.45,SWEAR,26.0,27.0
2.45,AFFAIR,28.0,125.0
2.46,SIMILAR,35.0,80.0
2.46,SMART,35.0,126.0
2.46,HESITATE,21.0,43.0
2.46,PUNISHMENT,20.0,43.0
2.48,SOME,49.0,126.0
2.48,DEFECT,18.0,47.0
2.48,COMMAND,69.0,274.0
2.48,EXCITEMENT,6.0,6.0
2.5,FOREIGN,21.0,29.0
2.5,DIMINISH,22.0,55.0
2.5,MIND,120.0,496.0
2.5,SURPRISED,12.0,13.0
2.5,OFTEN,19.0,29.0
2.5,MERRY,10.0,25.0
2.5,COST,37.0,154.0
2.5,RIDDLE,11.0,9.0
2.5,SCARED,12.0,14.0
2.51,MARRIAGE,18.0,26.0
2.52,RUDE,16.0,44.0
2.52,GLOOMY,27.0,67.0
2.52,LAME,59.0,133.0
2.52,COMPARE,22.0,27.0
2.52,SHY,31.0,40.0
2.52,MAKE,191.0,774.0
2.53,LEAVE,134.0,513.0
2.53,ANGRY,81.0,212.0
2.53,GENTLE,45.0,131.0
2.54,ABANDON,41.0,122.0
2.54,EXACT,20.0,98.0
2.54,TASTELESS,15.0,24.0
2.54,OFFICIAL,13.0,39.0
2.54,SOCIETY,15.0,38.0
2.55,WORRY,39.0,114.0
2.55,VICTORY,9.0,15.0
2.56,NEXT,23.0,85.0
2.56,HAPPY,48.0,116.0
2.56,EQUAL,60.0,180.0
2.56,HELP,65.0,155.0
2.57,APPEARANCE,58.0,290.0
2.57,LAW,56.0,73.0
2.57,MANY,78.0,151.0
2.57,TODAY,26.0,42.0
2.57,RULE,74.0,260.0
2.57,PRESERVE,27.0,91.0
2.57,JOURNEY,41.0,231.0
2.57,INSERT,51.0,147.0
2.59,BESIDE,17.0,16.0
2.59,SUSPECT,17.0,23.0
2.59,CONTENT,17.0,58.0
2.6,DREAM,52.0,37.0
2.6,HAPPINESS,37.0,88.0
2.6,RITE,51.0,104.0
2.6,GALL BLADDER,20.0,13.0
2.6,COMPLAIN,43.0,107.0
2.6,BE LATE,7.0,19.0
2.61,INCREASE,70.0,221.0
2.61,COMMEND,8.0,13.0
2.62,CHOOSE,44.0,125.0
2.62,WORSHIP,37.0,78.0
2.62,CHARITY,5.0,13.0
2.63,THREATEN,24.0,16.0
2.63,SURRENDER,15.0,35.0
2.63,WEALTH,51.0,147.0
2.63,HANDSOME,18.0,52.0
2.63,FIND,63.0,176.0
2.63,HURRY,26.0,47.0
2.64,FLEXIBLE,18.0,37.0
2.64,RECOVER,27.0,74.0
2.64,SAME,26.0,88.0
2.64,GREEDY,32.0,35.0
2.64,INTACT,10.0,22.0
2.66,IMITATE,25.0,89.0
2.66,FORWARD,23.0,64.0
2.66,PUNISH,30.0,57.0
2.67,MIDDAY,17.0,16.0
2.67,LAZY,33.0,61.0
2.67,OBEY,51.0,155.0
2.67,DIALECT,10.0,22.0
2.67,LOST,28.0,75.0
2.68,CUSTOM,51.0,158.0
2.68,DANGER,29.0,77.0
2.68,PROBLEM,34.0,61.0
2.68,DECREASE,20.0,38.0
2.68,BLESS,17.0,32.0
2.69,OMEN,49.0,117.0
2.69,LIFE,92.0,320.0
2.69,TRANSLATE,17.0,35.0
2.7,SEND,48.0,190.0
2.7,GRIEF,35.0,151.0
2.7,POOR,61.0,226.0
2.71,FAR,48.0,92.0
2.71,ABUSE,17.0,13.0
2.72,DEBT,32.0,34.0
2.72,BETWEEN,28.0,70.0
2.73,CARE FOR,28.0,86.0
2.73,SURPASS,31.0,88.0
2.74,APPROACH,62.0,202.0
2.74,TOGETHER,52.0,153.0
2.74,EXCHANGE,26.0,56.0
2.74,CALCULATE,23.0,34.0
2.74,AMOUNT,31.0,89.0
2.74,POISONOUS,13.0,25.0
2.75,GATHER,90.0,265.0
2.76,QUIET,59.0,147.0
2.76,STRAIGHT,49.0,118.0
2.76,MAD,22.0,67.0
2.76,FIRST,73.0,236.0
2.77,SLEEPY,12.0,11.0
2.78,HINDER,44.0,95.0
2.79,ORDER,107.0,464.0
2.79,ARRANGE,47.0,225.0
2.79,WEAK,82.0,205.0
2.79,OATH,26.0,41.0
2.79,NEAR,89.0,220.0
2.79,TOWARDS,49.0,191.0
2.79,IDLE,31.0,70.0
2.79,INSULT,27.0,30.0
2.79,SURNAME,8.0,2.0
2.79,RICH,36.0,118.0
2.79,ADULTERY,8.0,10.0
2.8,SACRIFICE,36.0,87.0
2.8,HELLO,7.0,6.0
2.8,RELATIONSHIP,6.0,1.0
2.81,NEW,52.0,71.0
2.81,ENCIRCLE,30.0,34.0
2.83,PURSUE,47.0,142.0
2.83,ENEMY,34.0,68.0
2.83,DONATE,8.0,31.0
2.83,CALM,59.0,137.0
2.85,RESULT,46.0,241.0
2.86,ZERO,3.0,1.0
2.86,JOIN,70.0,197.0
2.86,TASTY,34.0,70.0
2.86,ALONE,37.0,87.0
2.86,PROTECT,64.0,144.0
2.86,LEVEL,72.0,249.0
2.86,DISAPPEAR,56.0,141.0
2.86,SOBER,5.0,
2.87,REVOLUTION,5.0,1.0
2.88,CONNECT,27.0,49.0
2.88,GOVERNMENT,15.0,54.0
2.89,ANSWER,31.0,52.0
2.89,FINISH,82.0,218.0
2.9,RABID,3.0,5.0
2.9,JOKE,16.0,14.0
2.9,MAGIC,22.0,29.0
2.9,DISPUTE,24.0,59.0
2.9,REPEAT,29.0,42.0
2.9,THROUGH,36.0,119.0
2.92,NATURE,51.0,277.0
2.93,CHARACTER,73.0,385.0
2.93,COWARD,16.0,23.0
2.93,TWICE,16.0,23.0
2.93,FIX,53.0,293.0
2.93,PROCESS,8.0,27.0
2.93,THEY,39.0,72.0
2.93,BITTER,47.0,83.0
2.94,SYSTEM,18.0,74.0
2.96,BORE,28.0,44.0
2.96,STRENGTH,98.0,331.0
2.96,BEG,63.0,321.0
2.96,GREET,19.0,27.0
2.96,DEFEAT,38.0,104.0
2.96,SHARE,54.0,114.0
2.97,SAY,122.0,309.0
2.97,SICK,58.0,173.0
2.97,GIVE BACK,9.0,33.0
3.0,YESTERDAY,37.0,38.0
3.0,COUNT,89.0,277.0
3.0,LOOK FOR,42.0,86.0
3.0,INVITE,43.0,82.0
3.0,MOTIONLESS,3.0,13.0
3.0,TIRED,46.0,104.0
3.0,MEET,57.0,195.0
3.0,ADD,49.0,144.0
3.0,FODDER,15.0,13.0
3.0,LEAN,93.0,208.0
3.0,GOSSIP,25.0,44.0
3.0,FAIL,49.0,139.0
3.0,STRAIN,34.0,103.0
3.03,CRIME,21.0,60.0
3.03,THURSDAY,3.0,
3.03,MARRY,58.0,215.0
3.03,RETREAT,16.0,29.0
3.03,GROW,99.0,408.0
3.03,COMPOUND,13.0,18.0
3.04,NARROW,68.0,134.0
3.04,EAST,99.0,95.0
3.04,FOURTEEN,2.0,
3.04,AUGUST,5.0,6.0
3.04,DISTURB,26.0,81.0
3.04,LORD,65.0,209.0
3.04,FELT,9.0,34.0
3.04,REFUSE,43.0,78.0
3.04,THIRST,26.0,16.0
3.07,FRIEND,90.0,242.0
3.07,DIE,124.0,356.0
3.07,ACCOMPANY,34.0,85.0
3.07,SATURDAY,3.0,
3.07,MEMBER,49.0,192.0
3.07,FRIGHTEN,34.0,52.0
3.07,ACROSS,30.0,121.0
3.07,VIOLENCE,18.0,48.0
3.07,SCOLD,36.0,46.0
3.07,TREATY,7.0,11.0
3.07,BLUNT,30.0,14.0
3.07,HOARSE,19.0,18.0
3.07,LEND,35.0,36.0
3.07,SAD,31.0,102.0
3.07,CLEAN,93.0,208.0
3.08,THOUSAND,14.0,5.0
3.08,VISIBLE,38.0,145.0
3.08,DESTROY,110.0,359.0
3.08,TRADE,29.0,68.0
3.1,HOUR,15.0,20.0
3.1,BORROW,35.0,34.0
3.1,SELF,42.0,88.0
3.1,SLOWLY,14.0,18.0
3.1,DILUTE,10.0,14.0
3.11,DEPTH,15.0,47.0
3.11,PLUNDER,34.0,81.0
3.12,DELIVER,38.0,152.0
3.13,HERE,64.0,90.0
3.13,EXPENSIVE,19.0,26.0
3.13,COPULATE,49.0,50.0
3.14,FATIGUE,12.0,18.0
3.14,CULTIVATE,41.0,106.0
3.14,WEDNESDAY,4.0,4.0
3.14,BASTARD,16.0,29.0
3.14,PLOT,34.0,118.0
3.14,DENSE,38.0,113.0
3.14,MIDNIGHT,5.0,9.0
3.14,SHAPE,54.0,202.0
3.14,STRONG,161.0,656.0
3.15,ITCH,36.0,53.0
3.15,MOVE AWAY,12.0,12.0
3.15,ADORNED,5.0,6.0
3.15,HANG UP,19.0,19.0
3.15,TEACH,48.0,132.0
3.16,GLUTTON,11.0,10.0
3.16,AMBUSH,16.0,21.0
3.17,RESCUE,22.0,60.0
3.17,ELECTION,8.0,15.0
3.17,DISTANCE,25.0,54.0
3.18,LOOSE,71.0,174.0
3.18,TRANSPARENT,9.0,21.0
3.19,FOOL,56.0,154.0
3.19,SEVENTEEN,3.0,
3.19,SPIRIT,102.0,296.0
3.2,HUNDRED,25.0,13.0
3.2,BIRTHDAY,9.0,11.0
3.2,SLANTED,4.0,
3.21,OPEN,154.0,260.0
3.21,SEE,101.0,232.0
3.21,ITCHY,11.0,9.0
3.21,PRAY,34.0,41.0
3.21,ASTRINGENT,7.0,6.0
3.22,BE BORN,45.0,126.0
3.22,SMALL,164.0,319.0
3.22,ARRIVE,74.0,249.0
3.23,UGLY,29.0,79.0
3.24,PLAY,76.0,195.0
3.24,MUTE,13.0,11.0
3.24,LOOSEN,37.0,88.0
3.24,ATOP,2.0,4.0
3.24,WASTE,50.0,167.0
3.25,DIVORCE,23.0,54.0
3.25,YEAR,63.0,88.0
3.25,SEPARATE,93.0,212.0
3.25,COARSE,34.0,67.0
3.25,WHOLE,58.0,171.0
3.26,FOLLOW,86.0,354.0
3.26,EVENING,48.0,52.0
3.26,NINETEEN,2.0,
3.26,FLIRT,9.0,5.0
3.27,AUTUMN,12.0,5.0
3.27,FEVER,29.0,56.0
3.27,A LITTLE,21.0,34.0
3.27,HALF,34.0,88.0
3.27,DEAF,23.0,23.0
3.28,FRIDAY,1.0,
3.28,CROWDED,25.0,35.0
3.28,BUSINESS,30.0,123.0
3.28,SLOW,47.0,114.0
3.29,THRUST,38.0,152.0
3.29,DOWRY,9.0,6.0
3.29,IRON,54.0,56.0
3.3,NUMBER,49.0,200.0
3.3,SECOND,30.0,87.0
3.3,RIPE,51.0,66.0
3.3,HUNGER,37.0,42.0
3.3,STORY,36.0,110.0
3.3,INSTEP,2.0,
3.31,HEALTHY,41.0,123.0
3.31,SWELL,63.0,146.0
3.31,RIPEN,31.0,57.0
3.31,UNRIPE,51.0,66.0
3.31,VIRGIN,21.0,31.0
3.31,PRODUCE,76.0,388.0
3.31,PERIOD,48.0,130.0
3.31,SPICY,21.0,80.0
3.31,ANNOUNCE,22.0,78.0
3.32,FAST,68.0,231.0
3.32,SUNDAY,6.0,1.0
3.32,QUARREL,57.0,126.0
3.32,ACTIVE,23.0,67.0
3.32,DEMON,21.0,39.0
3.32,FILL,57.0,142.0
3.32,REPAIR,37.0,99.0
3.32,FREEMAN,2.0,1.0
3.32,SEASON,30.0,113.0
3.32,AWAKE,34.0,89.0
3.33,COLD,76.0,73.0
3.33,ABOVE,44.0,102.0
3.33,SILENCE,9.0,8.0
3.33,ATTACH,36.0,108.0
3.33,SHINY,22.0,54.0
3.33,WELL,87.0,263.0
3.34,HARD,133.0,482.0
3.34,THEIR,14.0,28.0
3.34,SERMON,4.0,4.0
3.35,SELL,52.0,111.0
3.35,BUY,53.0,89.0
3.35,FRAGRANT,15.0,14.0
3.36,HIGH,73.0,183.0
3.36,SEVENTY,7.0,2.0
3.37,SPEECH,88.0,206.0
3.37,HEAVY,70.0,188.0
3.37,FOUR,48.0,7.0
3.37,SHEAR,14.0,25.0
3.37,FIFTEEN,3.0,
3.37,PREACH,9.0,12.0
3.37,CLOSED,31.0,54.0
3.38,DEEP,71.0,183.0
3.38,WAKE UP,36.0,59.0
3.38,FRINGE,18.0,20.0
3.38,CREEP,22.0,7.0
3.38,SCENERY,5.0,4.0
3.39,NINETY,3.0,
3.4,DECORATE,24.0,50.0
3.4,PLAN,187.0,395.0
3.41,EIGHTY,12.0,40.0
3.41,CHRISTMAS,2.0,
3.41,BACKWARD,13.0,21.0
3.41,NEWS,33.0,86.0
3.41,BEIGE,1.0,
3.41,SAFE,19.0,68.0
3.41,ABORTION,4.0,2.0
3.42,UNCOVER,25.0,27.0
3.42,FETCH,43.0,135.0
3.43,PERMIT,30.0,114.0
3.43,PAINFUL,32.0,113.0
3.43,EMPTY,71.0,161.0
3.43,SIX,31.0,3.0
3.43,ACHE,48.0,92.0
3.43,BLACKEN,13.0,38.0
3.43,LIAR,27.0,107.0
3.43,CHAPTER,15.0,48.0
3.44,MORNING,43.0,41.0
3.44,WEST,35.0,105.0
3.44,THIRD,9.0,5.0
3.44,HITCHHIKE,1.0,
3.44,CUT DOWN,32.0,62.0
3.44,TAKE OUT,24.0,81.0
3.45,SHALLOW,32.0,65.0
3.45,DISEASE,36.0,99.0
3.46,SUCK,94.0,75.0
3.46,HORIZONTAL,7.0,2.0
3.46,CLAN,46.0,144.0
3.46,REMAINS,9.0,8.0
3.47,LISTEN,50.0,66.0
3.47,LENGTHEN,11.0,12.0
3.48,HUMID,14.0,21.0
3.48,DRUNK,35.0,59.0
3.48,WEEK,8.0,5.0
3.48,BEHIND,52.0,104.0
3.48,FIFTY,8.0,1.0
3.48,THRESHOLD,5.0,4.0
3.48,VERTICAL,4.0,5.0
3.48,MOISTEN,19.0,17.0
3.48,CRIMINAL,8.0,11.0
3.48,INJURE,41.0,72.0
3.48,SQUARE,13.0,88.0
3.5,NAME,89.0,225.0
3.5,PUT ON,57.0,215.0
3.5,PAIN,83.0,233.0
3.5,BUNCH,41.0,85.0
3.5,IDENTICAL,12.0,33.0
3.5,CLIMATE,8.0,27.0
3.5,POETRY,9.0,26.0
3.52,NOISE,74.0,120.0
3.52,TINKLE,6.0,6.0
3.52,GRAZE,33.0,61.0
3.53,IRRIGATE,10.0,11.0
3.54,WARE,25.0,113.0
3.54,PAY,66.0,222.0
3.55,FAMINE,19.0,22.0
3.55,FLAVOR,12.0,22.0
3.55,SCATTER,62.0,84.0
3.55,SHRINK,24.0,32.0
3.55,DRESS UP,4.0,2.0
3.56,WORD,88.0,228.0
3.56,SIXTY,6.0,
3.56,NOISY,17.0,36.0
3.57,POINTED,19.0,50.0
3.57,TREAD,28.0,38.0
3.59,MEASURE,62.0,179.0
3.59,TORTURE,22.0,49.0
3.59,STICKY,37.0,55.0
3.6,HISS,17.0,6.0
3.6,SWAY,21.0,25.0
3.61,TWELVE,3.0,
3.61,HOLLOW,72.0,150.0
3.61,MURDER,35.0,69.0
3.61,RAPE,88.0,80.0
3.61,WEAR,51.0,160.0
3.62,STRETCH,58.0,153.0
3.62,UNICORN,2.0,
3.62,BREEZE,26.0,49.0
3.62,THREE,44.0,10.0
3.63,HOST,58.0,115.0
3.63,LOAD,57.0,151.0
3.63,IDOL,26.0,60.0
3.63,GRASP,70.0,222.0
3.63,GRAVEN IMAGE,1.0,
3.63,CACKLE,7.0,1.0
3.63,MOVEMENT,24.0,83.0
3.63,PRICE,36.0,60.0
3.64,SUMMER,24.0,21.0
3.64,ECHO,17.0,38.0
3.66,BIG,100.0,217.0
3.66,ARSON,1.0,
3.67,INSIDE,63.0,173.0
3.67,TWENTY,18.0,3.0
3.67,TRAVEL,62.0,254.0
3.67,INTERPRETER,5.0,4.0
3.67,MOUNTAINOUS,7.0,4.0
3.67,COLLAPSE,38.0,97.0
3.67,BE SILENT,9.0,8.0
3.68,STEPSON,1.0,
3.68,HOLD,112.0,361.0
3.68,SLAUGHTER,43.0,125.0
3.68,SMEAR,29.0,37.0
3.69,MIDDLE,56.0,120.0
3.69,MUMBLE,11.0,10.0
3.69,THIRTEEN,2.0,
3.69,CARVE,47.0,95.0
3.7,SPEAK,95.0,225.0
3.7,AFTERNOON,14.0,15.0
3.7,STUDY,33.0,88.0
3.7,ERUPT,10.0,18.0
3.71,BUILD,80.0,319.0
3.71,SOMEONE,31.0,71.0
3.71,ATTACK,76.0,285.0
3.72,SEVEN,33.0,6.0
3.72,SWEEP,39.0,24.0
3.72,AREA,51.0,249.0
3.73,LOUD,70.0,95.0
3.73,PIERCE,86.0,184.0
3.73,STINKING,22.0,24.0
3.73,PALATE,15.0,11.0
3.73,DEATH,84.0,242.0
3.74,MENSTRUATE,10.0,19.0
3.75,SQUEEZE,100.0,118.0
3.75,THIRTY,11.0,3.0
3.75,RUN AWAY,37.0,104.0
3.75,PULL OUT,64.0,136.0
3.75,CONJUNCTIVITIS,3.0,10.0
3.75,RIDE,38.0,140.0
3.75,JUDGE,29.0,118.0
3.76,BLACK,96.0,170.0
3.76,STEEP,27.0,50.0
3.76,LAIR,18.0,55.0
3.76,STIR,57.0,78.0
3.76,STRANGER,25.0,26.0
3.76,BLUE,39.0,66.0
3.77,DRY,111.0,199.0
3.78,OWNER,31.0,86.0
3.78,CLUB,32.0,65.0
3.78,COLORFUL,5.0,10.0
3.78,POPLAR,4.0,1.0
3.79,WEIGH,41.0,149.0
3.79,ELEVATION,18.0,44.0
3.79,CROOKED,81.0,125.0
3.79,FLAIL,5.0,8.0
3.79,BILLION,1.0,
3.79,TEAM,61.0,70.0
3.79,HEAT,89.0,150.0
3.8,DEFENDANT,3.0,1.0
3.8,TURN AROUND,37.0,85.0
3.8,FOGGY,11.0,12.0
3.81,SMOOTH,78.0,159.0
3.81,HUNT,56.0,81.0
3.81,AWL,21.0,6.0
3.81,TWINKLE,20.0,31.0
3.81,DAMP,28.0,39.0
