concreteness,concept
4.78,RIVERBANK [3463]
4.78,SWEATER [4035]
4.78,MELON [507]
4.78,OAT [60]
4.78,PASTURE [649]
4.78,PUPPY [74]
4.78,OLD WOMAN [907]
4.79,LATCH [1012]
4.79,HOOK [1071]
4.79,DRUMMING [111]
4.79,SHORE [113]
4.79,DAUGHTER [1357]
4.79,MEDICINE [1372]
4.79,ROOM [1450]
4.79,SEA [1474]
4.79,BODY [1480]
4.79,WINE [1524]
4.79,GUNPOWDER [1798]
4.79,CENTIPEDE [1974]
4.79,WILD CAT [2241]
4.79,SEMEN [2283]
4.79,BREADFRUIT [2371]
4.79,CITY [2547]
4.79,SKIN (ANIMAL) [2614]
4.79,FLAG [2623]
4.79,SAUCER [271]
4.79,DOUGH [273]
4.79,PORK [2769]
4.79,EMU [2817]
4.79,RUG [292]
4.79,STRAP [2973]
4.79,CAMPFIRE [2986]
4.79,TURNIP [3062]
4.79,PAINTBRUSH [3094]
4.79,CANNON [3202]
4.79,PANCREAS [3252]
4.79,CUPBOARD [3357]
4.79,PLACENTA [3388]
4.79,SHORE OF SEA [3465]
4.79,GRANARY [3657]
4.79,ELEVATOR [4033]
4.79,WOLF [522]
4.79,DANDRUFF [576]
4.79,PLASTIC [654]
4.79,POLICE [656]
4.79,SCHOOL [673]
4.79,YOUNG MAN [76]
4.79,ROOF [769]
4.79,TRAIN [900]
4.79,COCONUT [970]
4.8,BELLY [1251]
4.8,FLOOR [1632]
4.8,SIT DOWN [1649]
4.8,ARMPIT [1886]
4.8,FORTRESS [1938]
4.8,SUNFLOWER [1956]
4.8,HORSETAIL [2196]
4.8,PRAWNS [238]
4.8,LIBRARY [2428]
4.8,FOOD [256]
4.8,TANK [3102]
4.8,OAR [3137]
4.8,WILD BOAR [3154]
4.8,CELERY [3727]
4.8,SUBMARINE [4022]
4.8,SHELL [598]
4.8,GRAIN [605]
4.8,LOCUST [810]
4.8,LINEN [916]
4.81,GOOSE [1187]
4.81,COFFEE [1299]
4.81,GOLD [1369]
4.81,RING [1374]
4.81,POT [1462]
4.81,FRUIT [1507]
4.81,DOOR [1567]
4.81,MACAW [1630]
4.81,HOLE [1667]
4.81,SCREW [1802]
4.81,TIE [1917]
4.81,CROWN (OF HEAD) [1943]
4.81,MANDARINE [2367]
4.81,CAKE [2408]
4.81,FLAMINGO [3722]
4.81,ALBATROSS [3796]
4.81,AMBULANCE [4013]
4.81,BAY [663]
4.81,ANKLE [803]
4.81,SALMON [944]
4.82,NEWSPAPER [1298]
4.82,SPERM [1505]
4.82,SKIRT [1600]
4.82,FENCE [1690]
4.82,VAGINA [1836]
4.82,SOYA [2027]
4.82,CURTAIN [2621]
4.82,MACHETE [2680]
4.82,GRATE (SOMETHING) [3114]
4.82,GLASS [604]
4.82,LEATHER [629]
4.82,OAK [644]
4.82,LUNG [688]
4.82,YARD [736]
4.82,PEOPLE [789]
4.83,BRICK [1006]
4.83,MOLAR TOOTH [1049]
4.83,BULLET [1114]
4.83,THREAD [1161]
4.83,PALM TREE [1181]
4.83,LEG [1297]
4.83,SUN [1343]
4.83,YOKE [14]
4.83,GUN [1566]
4.83,IGUANA [1578]
4.83,SKULL [1605]
4.83,CHEEK [1730]
4.83,TELEVISION [1788]
4.83,CROCODILE [1857]
4.83,MAT [195]
4.83,HEADGEAR [2130]
4.83,MUROID (MOUSE OR RAT) [2139]
4.83,BEETLE [2242]
4.83,DRAGONFLY [2352]
4.83,SLOTH [2446]
4.83,WATER BUFFALO [2516]
4.83,SEAHORSE [2586]
4.83,TORSO [2667]
4.83,SUNGLASSES [3100]
4.83,FERRY [3733]
4.83,TARANTULA [3886]
4.83,BRAZILIAN CEDAR [3929]
4.83,BLOWGUN [432]
4.83,CUCUMBER [496]
4.83,MUSHROOM [641]
4.83,CLAW [72]
4.83,NIPPLE [796]
4.83,BUTTOCKS [834]
4.83,CANDY [874]
4.83,CHILI PEPPER [919]
4.84,MOTOR [110]
4.84,SCORPION [1538]
4.84,BOMB [1804]
4.84,SLEEVE [2953]
4.84,SACK [2990]
4.84,RAKE (SOMETHING) [3127]
4.84,TRUCK [4011]
4.85,BULL [1008]
4.85,EYEBROW [1173]
4.85,CHARCOAL [1188]
4.85,WALKING STICK [1296]
4.85,GIRL [1646]
4.85,FOAM [1768]
4.85,WOOD [1803]
4.85,SPARROW [1854]
4.85,COLLARBONE [1994]
4.85,DOG [2009]
4.85,HEMP [2041]
4.85,HARP [2597]
4.85,OYSTERS [2830]
4.85,SADDLE [3065]
4.85,MOLD (GET ROTTEN) [3251]
4.85,MANTIS [3279]
4.85,WRISTWATCH [3349]
4.85,SHEARS [356]
4.85,MARSH [3688]
4.85,GRIZZLY BEAR [3738]
4.85,CATFISH [3777]
4.85,POTATO [593]
4.85,SNOW [784]
4.85,ALTAR [853]
4.86,TOWEL [1021]
4.86,CATTLE [1153]
4.86,WING [1257]
4.86,CANDLE [1273]
4.86,DUCK [1360]
4.86,WINDOW [1375]
4.86,GRANDFATHER [1383]
4.86,OTTER [15]
4.86,KANGAROO [164]
4.86,ANTEATER [181]
4.86,SHIN [186]
4.86,PUMA [1891]
4.86,FINGERNAIL OR TOENAIL [1896]
4.86,FISHING LINE [19]
4.86,BAMBOO [1927]
4.86,ANUS [1935]
4.86,CANOE [1970]
4.86,COFFIN [2011]
4.86,FIELD [212]
4.86,CHAFF (HUSK) [2363]
4.86,LOBSTER [2397]
4.86,DIRT [25]
4.86,RAVEN [2543]
4.86,BARREL [2548]
4.86,STETHOSCOPE [2599]
4.86,ACCORDION [2603]
4.86,CARRIAGE [2620]
4.86,ENGINE [2622]
4.86,UMBILICAL CORD [2663]
4.86,JACKET [2770]
4.86,CONE [287]
4.86,TAMBOURINE [3141]
4.86,HAMSTER [3147]
4.86,KIWIFRUIT [3247]
4.86,STOCKING [329]
4.86,BIRD NEST [3549]
4.86,ZEBRA [3675]
4.86,DESERT [3687]
4.86,POMEGRANATE [3732]
4.86,GRAPEVINE [3769]
4.86,MALE CAT [3825]
4.86,ROE DEER [3826]
4.86,WALL [3830]
4.86,TADPOLE [3979]
4.86,GUAVA [3981]
4.86,GOURD [411]
4.86,ANT [587]
4.86,MUD [640]
4.86,OCEAN [645]
4.86,WHEEL [710]
4.86,TRUMPET [775]
4.86,RICE [926]
4.86,BLOOD [946]
4.86,PEBBLES [961]
4.86,WOOL [964]
4.86,HEEL [980]
4.87,FISHHOOK [1074]
4.87,EARTH (SOIL) [1228]
4.87,BOWL [1530]
4.87,FACE [1560]
4.87,APRON [2046]
4.87,METAL [2244]
4.87,CATERPILLAR [2247]
4.87,STEEL [2343]
4.87,RADISH [2365]
4.87,PAPAYA [2445]
4.87,BENCH [2584]
4.87,EARWAX [32]
4.87,PEARL [3325]
4.87,HAY [342]
4.87,BROCCOLI [3726]
4.87,DINOSAUR [4021]
4.87,CORN FIELD [449]
4.87,SHIP [740]
4.87,KNOT [760]
4.87,JAW [798]
4.87,SUGAR [862]
4.87,TIN (METAL) [893]
4.87,TORTOISE [895]
4.88,HARE [1190]
4.88,FAT (FROM ANIMALS) [1282]
4.88,MOSQUITO [1509]
4.88,BEER [1639]
4.88,BEAR [1820]
4.88,DOVE [1853]
4.88,SAUSAGE [1874]
4.88,BEESWAX [1931]
4.88,LOINCLOTH [1965]
4.88,PENCIL [2578]
4.88,TUBE [2956]
4.88,ALUMINIUM [3385]
4.88,SICKLE [341]
4.88,SKUNK [3888]
4.88,MICROPHONE [4014]
4.88,LAKE [624]
4.88,BEE [665]
4.88,HAT [771]
4.88,SPINE [805]
4.88,HONEY [942]
4.88,CIGARETTE [969]
4.88,TOBACCO [974]
4.89,WHEAT [1077]
4.89,CAR [1111]
4.89,NOSTRIL [1178]
4.89,CART [122]
4.89,NOSE [1221]
4.89,SALT [1274]
4.89,TOOTH [1380]
4.89,GUMS [139]
4.89,SUGAR CANE [146]
4.89,KEY [1472]
4.89,JUICE [1499]
4.89,SALIVA [1503]
4.89,CHIN [1510]
4.89,HOOF [152]
4.89,SQUIRREL [1628]
4.89,LICENSE PLATE [1790]
4.89,COIN [1867]
4.89,ANTHILL [1873]
4.89,HAMMOCK [2019]
4.89,CHILD [2099]
4.89,FLEA [232]
4.89,EARTHWORM [2350]
4.89,GARLIC [2368]
4.89,TURKEY [2386]
4.89,BROOM [245]
4.89,WART [2665]
4.89,WATERMELON [2766]
4.89,LEASH [2959]
4.89,RIBBON [2969]
4.89,SHOWER (ACTION) [3128]
4.89,FLOWING BODY OF WATER [3311]
4.89,MIDDLE FINGER [3387]
4.89,MUSH (FOOD) [3651]
4.89,MONGOOSE [3677]
4.89,AVOCADO [3725]
4.89,WINDMILL [3841]
4.89,DIAMOND [3878]
4.89,PISTOL [3881]
4.89,TORTILLA [3991]
4.89,SAILBOAT [4026]
4.89,BABY CARRIAGE [4029]
4.89,FOREFINGER [577]
4.89,GROUNDNUT (PEANUT) [595]
4.89,ICE [617]
4.89,INSECT [620]
4.89,BICYCLE [747]
4.89,CORPSE [767]
4.89,VEGETABLES [924]
4.89,VILLAGE [930]
4.89,VINEGAR [985]
4.9,BUS [1070]
4.9,OLIVE [1154]
4.9,FEATHER [1201]
4.9,FOREHEAD [123]
4.9,BUTTER [1245]
4.9,EYE [1248]
4.9,JAGUAR [1250]
4.9,MOON [1313]
4.9,MONKEY [1350]
4.9,KNIFE [1352]
4.9,BONE [1394]
4.9,BOX [1465]
4.9,RAZOR [151]
4.9,HEN [1514]
4.9,CLOTH [1616]
4.9,FOAL [1647]
4.9,BUSH [1683]
4.9,TABLE [1775]
4.9,BEAD [1860]
4.9,ARMADILLO [1885]
4.9,SPECTACLES [1898]
4.9,STINGRAY [1910]
4.9,PEA [2025]
4.9,POND [2035]
4.9,PEACH [2043]
4.9,STOOL [2058]
4.9,FIREFLY [206]
4.9,FOOT OR LEG [2098]
4.9,CUT (WITH SCISSORS) [2155]
4.9,CRAB [2348]
4.9,BAG [2468]
4.9,BEDROOM [2505]
4.9,DARTS [2587]
4.9,HARMONICA [2590]
4.9,CARD [2619]
4.9,COCONUT SHELL LADLE [2649]
4.9,STARFISH [3032]
4.9,GUITAR [3090]
4.9,LIPSTICK [3093]
4.9,SOFA [3099]
4.9,BRANCH OR TWIG [3223]
4.9,FALCON [3258]
4.9,WEED [3288]
4.9,PITCHFORK [337]
4.9,PREPARED FOOD [3542]
4.9,ROSE [3882]
4.9,PIANO (INSTRUMENT) [3994]
4.9,SANDWICH [4008]
4.9,TOASTER [4010]
4.9,CLOWN [4020]
4.9,UPPER LEG (THIGH) [471]
4.9,MOSS [637]
4.9,BELT [772]
4.9,RIB [801]
4.9,SCREWDRIVER [836]
4.9,PUMPKIN [864]
4.9,PARAKEET [886]
4.9,WATERFALL [943]
4.9,BOOK [963]
4.91,BOTTLE [1321]
4.91,SOCK [1522]
4.91,GRASSHOPPER [607]
4.91,STONE [857]
4.92,BABOON [1197]
4.92,BREAD [1368]
4.92,HELMET [1680]
4.92,SHOULDERBLADE [172]
4.92,MAST [184]
4.92,REINDEER [1876]
4.92,CASHEW [2441]
4.92,GINGER [2500]
4.92,SPINDLE [277]
4.92,BALLOON [3083]
4.92,LADYBUG [3139]
4.92,PADLOCK [336]
4.92,COTTON WOOL [3442]
4.92,EYEBALL [3807]
4.92,BATHTUB [4027]
4.92,MILK [635]
4.92,PIN [64]
4.92,ASH [646]
4.92,SHRUB [751]
4.92,PUPIL (STUDENT) [753]
4.92,PEN [794]
4.93,FIREWOOD [10]
4.93,STATUE [1002]
4.93,SHARK [1110]
4.93,URINE [1142]
4.93,TONGUE [1205]
4.93,ROPE [1218]
4.93,FINGERNAIL [1258]
4.93,NEEDLE (FOR SEWING) [1382]
4.93,TOE [1389]
4.93,CLAY [1399]
4.93,FIST [1473]
4.93,SHOULDER [1482]
4.93,POSTCARD [1497]
4.93,SWORD [1535]
4.93,SNAIL [1543]
4.93,CHEST [1592]
4.93,ELK [1772]
4.93,BUTTERFLY [1791]
4.93,HEDGEHOG [1797]
4.93,BOAT [1844]
4.93,CAMEL [1871]
4.93,TOY [2403]
4.93,OFFICE [2430]
4.93,WOODPECKER [2447]
4.93,CHICK [2512]
4.93,OIL (FROM PLANTS) [2555]
4.93,OIL (HYDROPHOBIC LIQUID) [2556]
4.93,PIGLET [2564]
4.93,WREATH [2589]
4.93,BULB [2617]
4.93,MAP [2625]
4.93,FINGERTIP [2773]
4.93,MOSQUITO NET [2795]
4.93,KNUCKLE [2824]
4.93,RUM [2833]
4.93,CRADLE [2946]
4.93,COMPUTER [3086]
4.93,ENVELOPE [3088]
4.93,OPOSSUM [309]
4.93,HIPPOPOTAMUS [3145]
4.93,MUSTARD [3181]
4.93,CLITORIS [3257]
4.93,GRAVEYARD [3284]
4.93,PICTURE (PHOTOGRAPH) [3304]
4.93,PEG [361]
4.93,GUINEA PIG [3718]
4.93,RASPBERRY [3803]
4.93,DENTIST [3876]
4.93,LAWN [3990]
4.93,ROCKING CHAIR [3999]
4.93,PLIERS [4003]
4.93,JELLYFISH [4017]
4.93,CIGAR [4019]
4.93,YAM [410]
4.93,CRAYFISH [467]
4.93,DRESS [474]
4.93,NAIL (TOOL) [502]
4.93,GRASS [606]
4.93,PAPER [648]
4.93,OWL [735]
4.93,SOAP [788]
4.93,WRIST [799]
4.93,TROUSERS [809]
4.93,BLADE [869]
4.93,BEEHIVE [88]
4.93,ANACONDA (WATER BOA) [896]
4.93,BERRY [904]
4.93,CROW [913]
4.93,PEAR [922]
4.94,SHIRT [1622]
4.94,PINEAPPLE [2440]
4.96,JEWEL [1029]
4.96,SWAMP [1145]
4.96,CAVE [1155]
4.96,MOUSTACHE [1165]
4.96,TAIL [1220]
4.96,TENT [1316]
4.96,SPOON [1378]
4.96,TELEPHONE [1379]
4.96,LION [1386]
4.96,DOLPHIN [1479]
4.96,FLY (INSECT) [1504]
4.96,WASP [1517]
4.96,PYTHON [1563]
4.96,COCKROACH [1575]
4.96,ALLIGATOR [1581]
4.96,HUMMINGBIRD [1589]
4.96,AIRPLANE [1597]
4.96,ANVIL [1648]
4.96,BRACELET [1754]
4.96,THUMB [1781]
4.96,EARLOBE [18]
4.96,NECKLACE [1961]
4.96,MASK [2005]
4.96,BUCKET [2052]
4.96,ARM OR HAND [2121]
4.96,BELL [2246]
4.96,METEOROID (SHOOTING OR SHINING STAR) [2288]
4.96,"LID (COVER, CAP) [2319]"
4.96,PYRAMID [2600]
4.96,ASPARAGUS [2605]
4.96,JUG [270]
4.96,BLUEBERRY [2809]
4.96,SWAN [2837]
4.96,SMOKE (EMIT SMOKE) [2859]
4.96,GATE [2940]
4.96,THERMOMETER [3104]
4.96,HORNET [3261]
4.96,CHIMPANZEE [3734]
4.96,GRAPEFRUIT OR POMELO [3804]
4.96,CRANBERRY [3840]
4.96,SHOTGUN [3948]
4.96,BLOUSE [4018]
4.96,VIOLIN [4023]
4.96,GARBAGE CAN [4036]
4.96,PELICAN [472]
4.96,LIP [478]
4.96,KIDNEY [489]
4.96,BOOT [585]
4.96,ISLAND [622]
4.96,MOUNTAIN [639]
4.96,FAECES (EXCREMENT) [675]
4.96,BEARD [678]
4.96,BEAK [73]
4.96,SHELF [745]
4.96,BUTTON [757]
4.96,EARRING [770]
4.96,STOVE [859]
4.96,DRUM [908]
4.96,COYOTE [912]
4.96,WHALE [957]
4.96,ACORN [968]
4.96,NOODLE [973]
4.96,LIME (FRUIT) [982]
4.97,BRIDGE [1011]
4.97,SPIDER WEB [1065]
4.97,OVEN [1143]
4.97,AUBERGINE [1146]
4.97,MIRROR [1171]
4.97,CAT [1208]
4.97,FOX [1312]
4.97,THROAT [1346]
4.97,KITCHEN [1365]
4.97,SHOE [1381]
4.97,FLOUR [1594]
4.97,ARM [1673]
4.97,COTTON [1850]
4.97,SHOVEL [1901]
4.97,SOYA SAUCE [1968]
4.97,YOUNG GOAT (KID) [1972]
4.97,WALNUT [2042]
4.97,RAINING OR RAIN [2108]
4.97,TORCH OR LAMP [2131]
4.97,TOILET [219]
4.97,LARVA [2640]
4.97,SKELETON [2668]
4.97,HAIR OR FUR [2678]
4.97,SCARF OR TURBAN [3066]
4.97,MOP (SOMETHING) [3120]
4.97,GORILLA [3144]
4.97,FIG [322]
4.97,HORSEFLY [3262]
4.97,PONCHO [327]
4.97,TREE TRUNK [344]
4.97,LETTUCE [3729]
4.97,APRICOT [3730]
4.97,POCKETKNIFE [3742]
4.97,SUITCASE [4005]
4.97,ASHTRAY [4028]
4.97,DOORKNOB [4030]
4.97,COAT [603]
4.97,MOTORCYCLE [638]
4.97,EGG [744]
4.97,SUIT [764]
4.97,RAFTER [829]
4.97,SPIDER [843]
4.97,GLOVE [867]
4.97,ARROW [977]
5.0,HANDKERCHIEF [1020]
5.0,BUG [1027]
5.0,PILLOW [1044]
5.0,MATTRESS [105]
5.0,LEOPARD [1139]
5.0,PENIS [1222]
5.0,THORN [124]
5.0,EAR [1247]
5.0,HOUSE [1252]
5.0,BABY [1289]
5.0,ELEPHANT [1290]
5.0,FINGER [1303]
5.0,CHIMNEY [1305]
5.0,APPLE [1320]
5.0,CLOCK [1323]
5.0,NECK [1333]
5.0,KNEE [1371]
5.0,BREAST [1402]
5.0,LADDER [1464]
5.0,BASKET [1539]
5.0,UDDER [154]
5.0,EYELASH [1540]
5.0,SWEET POTATO [159]
5.0,DOLL [1659]
5.0,BED [1663]
5.0,RAFT [1664]
5.0,EYELID [17]
5.0,BAT [1793]
5.0,DANDELION [1800]
5.0,BALL [1845]
5.0,DONKEY [1862]
5.0,EAGLE [1905]
5.0,CHOPSTICKS [1987]
5.0,GET TIRED [1996]
5.0,QUILT [2048]
5.0,DUSTPAN [2051]
5.0,COMB (VERB) [2070]
5.0,CORAL SNAKE [2240]
5.0,LEAF (LEAFLIKE OBJECT) [2250]
5.0,FISH [227]
5.0,FLOWER [239]
5.0,MANGO [2398]
5.0,PORCUPINE [2510]
5.0,BEAN OR PEA [2574]
5.0,TOOTHBRUSH [2579]
5.0,OCTOPUS [2581]
5.0,CACTUS [2595]
5.0,CAMERA [2618]
5.0,CAPRINE (GOAT OR SHEEP) [2684]
5.0,LADDER OR STAIRS [2689]
5.0,TONGS [272]
5.0,SHAWL [2771]
5.0,PENGUIN [2831]
5.0,CAULIFLOWER [2843]
5.0,GRAVEL [3028]
5.0,CARROT [3085]
5.0,LEMON [3091]
5.0,SEWING MACHINE [3097]
5.0,TENNIS BALL [3103]
5.0,UMBRELLA [3105]
5.0,STRAWBERRY [3138]
5.0,POLAR BEAR [3143]
5.0,MEERKAT [3148]
5.0,CAGE [3283]
5.0,HEADBAND [330]
5.0,PEACOCK [3382]
5.0,BEACH [3460]
5.0,ANTELOPE [3674]
5.0,FULL MOON [3690]
5.0,RAINCOAT [3712]
5.0,VASE [3746]
5.0,FERN [3802]
5.0,HINNY [3824]
5.0,REFRIGERATOR [3952]
5.0,SARDINE [3992]
5.0,IRONING BOARD [3998]
5.0,LIGHTBULB [4000]
5.0,WALRUS [4007]
5.0,TELESCOPE [4012]
5.0,MICROSCOPE [4016]
5.0,SAXOPHONE [4024]
5.0,LANTERN [4025]
5.0,KITE (TOY) [4032]
5.0,CUP [476]
5.0,FROG [503]
5.0,HORSE [615]
5.0,AXE [677]
5.0,SNAKE [730]
5.0,FLUTE [777]
5.0,BLANKET [806]
5.0,TIGER [846]
5.0,RATTLESNAKE [871]
5.0,PARROT [882]
5.0,TOAD [894]
5.0,TREE [906]
5.0,GRAPE [920]
5.0,BIRD [937]
5.0,HORN (INSTRUMENT) [939]
5.0,SPEAR [945]
5.0,SEAGULL [950]
5.0,ELBOW [981]
5.0,TOMATO [986]
